time,open,high,low,close,tick_volume,spread,real_volume
2021-03-01,12978.0,13324.65,12953.65,13323.4,299292,0,0
2021-03-02,13317.6,13335.0,13055.75,13065.25,329159,0,0
2021-03-03,13063.9,13197.55,12670.05,12680.05,351248,0,0
2021-03-04,12685.35,12801.1,12310.65,12440.75,487641,0,0
2021-03-05,12439.3,12701.7,12212.95,12656.95,477027,0,0
2021-03-08,12726.15,12765.05,12288.45,12344.55,441127,0,0
2021-03-09,12341.2,12872.1,12331.35,12795.6,331977,0,0
2021-03-10,12813.45,12997.85,12709.1,12789.1,363324,0,0
2021-03-11,12795.45,13123.6,12728.85,13050.1,281184,0,0
2021-03-12,13055.25,13101.4,12775.4,12942.0,306866,0,0
2021-03-15,12962.35,13105.75,12879.75,13088.85,240510,0,0
2021-03-16,13089.3,13304.6,13063.05,13170.2,245350,0,0
2021-03-17,13173.05,13288.45,12951.7,13188.7,837133,0,0
2021-03-18,13195.8,13283.95,12778.5,12809.35,814366,0,0
2021-03-19,12819.3,12915.05,12698.05,12846.2,757165,0,0
2021-03-22,12832.25,13173.6,12806.4,13080.95,471137,0,0
2021-03-23,13081.8,13188.2,12995.3,13047.55,592498,0,0
2021-03-24,13065.0,13159.95,12799.8,12808.8,632290,0,0
2021-03-25,12811.25,12875.15,12625.4,12805.9,819495,0,0
2021-03-26,12803.85,13005.25,12692.85,12978.75,602297,0,0
2021-03-29,12989.85,13018.6,12824.0,12980.0,219737,0,0
2021-03-30,12985.45,13000.1,12793.5,12902.1,109501,0,0
2021-03-31,12904.5,13174.15,12874.9,13102.9,91673,0,0
2021-04-01,13110.0,13350.4,13109.75,13344.65,85058,0,0
2021-04-02,13349.85,13408.1,13343.75,13368.25,18284,0,0
2021-04-05,13351.6,13632.0,13322.75,13618.5,67539,0,0
2021-04-06,13617.15,13669.05,13541.05,13597.05,87573,0,0
2021-04-07,13597.9,13656.45,13529.3,13635.55,82673,0,0
2021-04-08,13635.9,13805.05,13631.05,13800.3,75903,0,0
2021-04-09,13802.3,13855.95,13664.2,13828.2,82959,0,0
2021-04-12,13830.9,13848.8,13749.2,13840.8,89620,0,0
2021-04-13,13841.9,14011.4,13790.2,13994.45,83735,0,0
2021-04-14,13994.1,14046.15,13789.0,13838.0,90378,0,0
2021-04-15,13843.35,14050.5,13805.25,14010.0,85519,0,0
2021-04-16,14012.95,14075.85,13971.35,14042.7,81997,0,0
2021-04-19,13993.15,14069.4,13837.95,13909.45,99367,0,0
2021-04-20,13914.85,13949.75,13735.9,13749.5,105984,0,0
2021-04-21,13758.1,13942.0,13717.25,13907.25,93844,0,0
2021-04-22,13908.35,13959.05,13717.45,13777.55,102107,0,0
2021-04-23,13770.3,13992.03,13753.95,13921.2,80915,0,0
2021-04-26,13930.9,14052.15,13881.55,14034.65,78908,0,0
2021-04-27,14039.0,14064.65,13928.5,13966.4,74108,0,0
2021-04-28,13970.6,14008.25,13894.0,13991.5,82064,0,0
2021-04-29,13983.8,14079.95,13834.85,13958.95,89444,0,0
2021-04-30,13959.8,13971.45,13834.85,13886.6,97004,0,0
2021-05-03,13886.2,13962.1,13786.2,13798.85,83194,0,0
2021-05-04,13798.45,13806.45,13395.2,13531.85,102185,0,0
2021-05-05,13540.3,13678.8,13476.85,13497.2,92224,0,0
2021-05-06,13496.3,13623.45,13400.7,13619.2,111520,0,0
2021-05-07,13628.0,13826.15,13597.65,13731.45,95285,0,0
2021-05-10,13724.8,13762.2,13315.7,13316.95,99372,0,0
2021-05-11,13329.25,13385.15,13075.5,13321.4,138985,0,0
2021-05-12,13332.35,13361.0,12970.25,12976.15,146485,0,0
2021-05-13,12987.25,13232.65,12924.65,13097.4,140910,0,0
2021-05-14,13105.05,13434.45,13079.2,13409.45,104866,0,0
2021-05-17,13392.8,13457.45,13192.6,13325.15,113656,0,0
2021-05-18,13317.15,13441.3,13186.95,13195.95,88038,0,0
2021-05-19,13193.95,13248.9,12961.2,13220.15,130121,0,0
2021-05-20,13222.6,13528.75,13158.4,13501.5,96070,0,0
2021-05-21,13496.95,13575.8,13402.65,13419.8,91648,0,0
2021-05-24,13390.9,13692.3,13363.55,13657.3,79313,0,0
2021-05-25,13660.4,13744.8,13613.4,13669.05,87374,0,0
2021-05-26,13672.7,13734.6,13662.6,13711.6,73215,0,0
2021-05-27,13703.7,13725.85,13625.6,13696.85,80844,0,0
2021-05-28,13696.7,13768.85,13668.1,13694.6,64968,0,0
2021-05-31,13701.2,13724.85,13657.75,13659.1,29279,0,0
2021-06-01,13663.7,13777.85,13598.25,13651.1,72802,0,0
2021-06-02,13650.55,13717.2,13608.2,13678.45,74191,0,0
2021-06-03,13688.55,13710.2,13465.95,13531.2,85434,0,0
2021-06-04,13533.4,13787.05,13471.3,13765.8,76107,0,0
2021-06-07,13781.4,13826.05,13694.65,13824.3,75711,0,0
2021-06-08,13824.65,13919.6,13745.7,13812.6,79959,0,0
2021-06-09,13819.1,13908.9,13810.4,13817.2,69276,0,0
2021-06-10,13820.15,13981.05,13732.05,13979.3,75842,0,0
2021-06-11,13980.65,14001.55,13939.2,13995.05,62290,0,0
2021-06-14,14003.25,14143.4,13975.15,14127.4,54595,0,0
2021-06-15,14129.6,14172.25,14018.25,14055.75,62904,0,0
2021-06-16,14052.35,14112.65,13848.25,13955.0,71597,0,0
2021-06-17,13952.1,14216.5,13860.5,14192.5,98556,0,0
2021-06-18,14194.1,14222.4,14028.85,14035.25,96184,0,0
2021-06-21,14034.35,14161.25,13976.25,14155.5,103776,0,0
2021-06-22,14155.0,14295.9,14084.15,14288.9,77598,0,0
2021-06-23,14288.0,14332.9,14249.3,14290.15,68471,0,0
2021-06-24,14292.75,14439.4,14287.5,14374.65,63859,0,0
2021-06-25,14375.85,14410.9,14330.15,14347.75,65193,0,0
2021-06-28,14359.45,14537.5,14350.35,14517.0,65690,0,0
2021-06-29,14518.95,14602.35,14487.6,14600.1,64255,0,0
2021-06-30,14602.95,14615.6,14536.8,14573.1,67767,0,0
2021-07-01,14574.7,14622.45,14489.0,14560.85,72509,0,0
